ARREST_PRECINCT,new_arrest_date,count
75,2014 11,915
43,2014 11,646
66,2014 09,157
103,2014 08,897
14,2014 07,1373
102,2013 10,419
73,2012 11,663
75,2012 08,1473
9,2012 03,420
46,2011 02,946
9,2011 03,341
71,2010 10,573
7,2010 06,276
40,2009 12,827
123,2009 08,152
90,2009 01,380
101,2008 04,296
107,2007 04,220
113,2006 10,504
114,2006 10,556
42,2006 10,487
84,2006 10,397
81,2006 10,394
34,2014 01,378
103,2013 04,861
115,2010 06,697
47,2009 06,562
41,2009 05,621
104,2020 11,152
112,2020 05,94
19,2019 09,201
78,2021 12,75
50,2021 10,111
1,2017 12,226
90,2017 07,266
50,2016 11,143
78,2015 12,211
88,2013 05,243
66,2012 04,171
9,2010 03,404
20,2009 06,239
61,2007 10,291
70,2019 12,208
41,2014 01,681
102,2021 01,163
26,2015 11,156
17,2015 09,135
72,2015 05,281
69,2008 08,270
94,2015 09,136
62,2012 07,219
101,2021 04,126
105,2021 05,191
46,2020 09,278
62,2019 01,169
20,2019 07,118
52,2019 07,457
81,2021 09,126
46,2018 10,551
42,2018 10,325
42,2018 01,413
122,2006 09,313
46,2006 05,1047
6,2006 03,307
105,2006 01,419
73,2017 08,545
23,2017 09,344
90,2017 03,290
23,2017 03,364
61,2016 11,220
75,2016 10,912
46,2016 08,500
75,2016 04,914
71,2016 03,413
100,2015 10,140
94,2015 07,122
14,2015 06,990
33,2014 09,274
18,2014 08,490
43,2014 06,687
14,2013 12,1276
19,2013 09,258
1,2013 04,464
7,2012 12,298
79,2012 09,584
43,2012 09,809
48,2012 09,530
120,2012 07,663
102,2012 07,396
25,2012 04,810
67,2011 11,496
26,2011 10,245
10,2011 09,232
40,2011 08,718
26,2011 08,270
61,2011 03,302
122,2010 05,355
46,2009 10,1007
41,2009 08,593
33,2009 03,666
77,2009 01,674
73,2008 11,968
108,2008 09,249
9,2008 08,347
94,2008 07,117
24,2007 05,309
78,2007 04,131
43,2007 03,1108
30,2007 02,431
115,2006 11,572
111,2017 11,114
49,2017 06,347
108,2017 02,150
33,2017 02,294
73,2016 07,684
71,2016 06,312
101,2014 02,361
81,2007 05,390
26,2020 09,87
122,2021 04,101
6,2018 03,227
22,2014 04,56
68,2012 09,158
20,2008 10,207
17,2007 07,199
102,2016 01,309
20,2021 09,67
24,2017 10,172
112,2016 08,157
78,2010 11,64
100,2006 12,128
94,2016 07,87
26,2015 02,162
94,2013 09,161
22,2011 09,44
25,2020 10,226
50,2020 11,81
6,2019 05,177
47,2019 01,457
112,2019 01,162
108,2019 04,190
14,2019 05,507
113,2019 08,472
17,2019 07,122
7,2019 06,138
61,2019 08,160
104,2019 07,218
109,2021 02,166
75,2018 08,638
104,2018 06,221
1,2018 01,272
79,2006 03,655
45,2006 03,282
46,2018 04,457
110,2017 10,328
100,2016 09,156
50,2016 08,188
13,2016 05,331
47,2015 08,544
20,2015 06,169
77,2015 05,346
107,2015 04,222
75,2015 02,905
115,2014 12,299
77,2014 08,558
6,2014 07,429
107,2014 05,298
23,2013 06,562
115,2013 06,556
60,2012 05,411
77,2012 03,669
30,2012 01,386
1,2011 06,445
66,2011 03,183
7,2009 12,228
76,2009 11,167
67,2009 09,528
33,2009 07,526
83,2009 03,666
26,2008 05,242
19,2008 04,237
23,2007 10,489
18,2006 09,330
19,2017 05,261
73,2015 02,768
40,2014 10,1142
13,2012 06,472
113,2010 10,558
94,2009 04,131
10,2020 07,64
107,2019 10,171
18,2020 03,210
81,2018 01,234
78,2006 06,198
28,2016 06,370
123,2016 05,169
120,2015 12,280
30,2014 04,334
100,2007 12,112
84,2020 09,117
84,2020 02,215
45,2021 09,136
108,2017 12,179
24,2017 04,217
50,2016 03,189
68,2011 09,155
60,2011 05,360
100,2007 05,150
22,2012 11,24
17,2006 10,174
28,2019 07,191
71,2019 11,187
100,2019 11,79
108,2018 12,151
42,2006 03,501
101,2016 09,204
17,2015 11,147
121,2015 10,355
52,2015 06,681
106,2014 10,362
109,2014 05,464
33,2014 03,494
78,2014 03,231
123,2013 06,129
114,2013 02,438
77,2012 12,409
77,2012 09,533
9,2012 08,389
28,2012 06,460
102,2012 06,295
6,2012 04,332
24,2011 08,212
49,2011 05,320
72,2010 11,319
101,2010 11,249
6,2010 09,376
5,2010 06,530
67,2010 05,603
32,2010 05,518
34,2010 03,632
72,2010 03,381
62,2010 03,241
83,2010 03,631
47,2009 08,592
1,2009 07,471
100,2009 07,222
110,2009 03,562
115,2009 03,867
1,2009 03,486
67,2009 03,644
26,2009 01,287
113,2008 11,483
71,2008 09,341
71,2008 08,422
69,2008 04,249
115,2008 01,690
28,2007 12,393
110,2007 10,522
77,2007 07,432
114,2006 11,546
68,2017 04,261
103,2016 04,655
109,2014 01,426
7,2012 02,316
71,2007 05,583
81,2007 03,385
107,2020 10,149
104,2020 06,128
